id,entity_type,name,description,url,logo_url,categories,source_name,source_url,metadata_json
326e04b0-e73c-51d5-984e-66149046bf44,task,Code Generation,Things you can do with AI related to code generation.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""code-generation""}"
1b7dddda-8098-5452-9426-d674ccf730b7,task,Image Generation,Things you can do with AI related to image generation.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""image-generation""}"
b5b143c0-aaaa-513b-9419-53169faa32f3,task,Video Generation,Things you can do with AI related to video generation.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""video-generation""}"
712272bb-2680-53e9-9b00-dfbeeaaefb64,task,Audio Generation,Things you can do with AI related to audio generation.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""audio-generation""}"
ee9cdbfa-e902-55d0-a43e-45cb685d298a,task,Chat Assistant,Things you can do with AI related to chat assistant.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""chat-assistant""}"
43cf2b72-f78a-5ec4-b5f6-5809be6c7433,task,Summarization,Things you can do with AI related to summarization.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""summarization""}"
6d737fe6-2fc8-5da4-8936-a9aa645d90c6,task,Translation,Things you can do with AI related to translation.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""translation""}"
afa73c93-cd71-5ea1-9f7f-df69ae89bab4,task,Data Analysis,Things you can do with AI related to data analysis.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""data-analysis""}"
2b54bb07-cfeb-55e1-9546-5db91805e2e5,task,Search Research,Things you can do with AI related to search research.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""search-research""}"
59a7102f-f345-53d3-8a67-45cdea75ae2f,task,Agent Automation,Things you can do with AI related to agent automation.,,,Tasks,Manual/Taxonomy,,"{""slug"": ""agent-automation""}"
